image_id,n_cells,n_edges,median_cell_area_px,mean_cell_area_px,min_cell_area_px,max_cell_area_px,giant_cell_frac,tiny_cell_frac,mean_degree,isolated_node_frac,n_isolated,occ_min,occ_max,occ_out_of_range,aj_mean_intensity_has_negative,aj_max_intensity_has_negative,aj_skeleton_len_has_negative,aj_cluster_count_has_negative,n_nan_columns,nan_columns
BSA_6dyn-146,119,290,8170.0,8603.697478991597,661.0,22674.0,0.03361344537815126,0.0,4.873949579831932,0.0,0,0.0,1.0,False,False,False,False,False,0,
BSA_BMP9_20dyn-2,132,327,6906.5,7777.477272727273,695.0,26451.0,0.030303030303030304,0.0,4.954545454545454,0.0,0,0.0238095238095238,1.0,False,False,False,False,False,0,
BSA_BMP9_20dyn-8,83,177,9958.0,11299.686746987953,1114.0,31640.0,0.10843373493975904,0.0,4.265060240963855,0.0,0,0.0,0.9344262295081968,False,False,False,False,False,0,
BSA_BMP9_6dyn-29,101,212,7619.0,8501.475247524753,384.0,23483.0,0.019801980198019802,0.0,4.198019801980198,0.0297029702970297,3,0.0,0.8566308243727598,False,False,False,False,False,0,
BSA_BMP9_static-23,66,85,7954.0,9252.712121212122,1596.0,23657.0,0.07575757575757576,0.0,2.5757575757575757,0.10606060606060606,7,0.0,0.5609756097560976,False,False,False,False,False,0,
BSA_static-111,151,348,5252.0,6278.019867549669,375.0,28448.0,0.026490066225165563,0.0,4.6092715231788075,0.0,0,0.0,1.0,False,False,False,False,False,0,
BSA_static-115,159,397,5129.0,6330.786163522012,612.0,27302.0,0.012578616352201259,0.0,4.9937106918239,0.0,0,0.0,1.0,False,False,False,False,False,0,
EGM2_regular_18-20dyn-06,140,329,6618.0,6747.757142857143,1214.0,17514.0,0.0,0.0,4.7,0.007142857142857143,1,0.0,0.9595959595959596,False,False,False,False,False,0,
EGM2_regular_18-20dyn-53,91,123,6759.0,7587.758241758242,817.0,20638.0,0.01098901098901099,0.0,2.7032967032967035,0.07692307692307693,7,0.0,0.8383838383838383,False,False,False,False,False,0,
EGM2_regular_18-20dyn-60,81,96,6801.0,7668.222222222223,729.0,20769.0,0.024691358024691357,0.0,2.3703703703703702,0.08641975308641975,7,0.0,0.8721174004192872,False,False,False,False,False,0,
EGM2_regular_6dyn-27,140,360,6445.0,7398.45,691.0,19284.0,0.0,0.0,5.142857142857143,0.0,0,0.0,0.9166666666666666,False,False,False,False,False,0,
EGM2_regular_6dyn-86,117,294,8182.0,8682.581196581197,1163.0,24705.0,0.042735042735042736,0.0,5.0256410256410255,0.0,0,0.0,0.9555555555555556,False,False,False,False,False,0,
EGM2_regular_6dyn-88,113,288,9118.0,9246.946902654867,880.0,32563.0,0.035398230088495575,0.0,5.097345132743363,0.0,0,0.0,1.0,False,False,False,False,False,0,
EGM2_regular_static-49,50,91,14401.0,15359.02,1867.0,39545.0,0.26,0.0,3.64,0.04,2,0.0,0.8449612403100775,False,False,False,False,False,0,
EGM2_regular_static-50,59,103,12024.0,13503.152542372882,1404.0,41644.0,0.2711864406779661,0.0,3.4915254237288136,0.0,0,0.0,1.0,False,False,False,False,False,0,
