image_id,condition,n_cells,mean_angle_deg,R,V,circular_var
BSA_6dyn-146,6dyne,95,66.7428313098135,0.1545444653480032,0.06102324366716656,0.8454555346519967
BSA_BMP9_20dyn-2,high_shear,92,3.198152709069872,0.08000322837318947,0.07987862841891737,0.9199967716268105
BSA_BMP9_20dyn-8,high_shear,63,61.77798188311688,0.12125815711514258,0.05734169775362486,0.8787418428848575
BSA_BMP9_6dyn-29,6dyne,88,-37.968477897931905,0.277445081367924,0.21872364939060698,0.722554918632076
BSA_BMP9_static-23,static,51,56.40974284994021,0.15359326188422023,0.08497545790076164,0.8464067381157798
BSA_static-111,static,126,25.835255710285313,0.17755459994306094,0.1598081581237497,0.822445400056939
BSA_static-115,static,131,54.56621623610118,0.15340440149989915,0.08893799688755777,0.8465955985001008
EGM2_regular_18-20dyn-06,high_shear,121,33.70265366545468,0.3044917277175626,0.2533153230112595,0.6955082722824374
EGM2_regular_18-20dyn-53,high_shear,83,172.04818770545873,0.4084800261159156,-0.40455239582672436,0.5915199738840844
EGM2_regular_18-20dyn-60,high_shear,76,166.777306229655,0.24246414269408387,-0.23603602573736887,0.7575358573059161
EGM2_regular_6dyn-27,6dyne,120,-19.025521058297038,0.07833701619729012,0.07405773644992356,0.9216629838027098
EGM2_regular_6dyn-86,6dyne,96,-7.951998728211397,0.34314392418014966,0.33984436121485767,0.6568560758198503
EGM2_regular_6dyn-88,6dyne,97,-32.13116621734348,0.17161724009661158,0.14533109769007613,0.8283827599033884
EGM2_regular_static-49,static,46,-98.36060251058923,0.03871972746975342,-0.005629955034875115,0.9612802725302466
EGM2_regular_static-50,static,47,-38.68455006701712,0.10785896698797635,0.0841945992933028,0.8921410330120236
